,model,price,spec_score,processor,core_threads,ram,ssd,graphics,display,os,extra_info
970,Samsung Galaxy Book2 15 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹69,990",54,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
971,Asus Strix G15 G513RM-HF272WS Gaming Laptop (Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,29,990",81,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
972,Asus X515EA-BQ522WS Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹53,500",61,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
973,Dell G15-5520 D560737WIN9B Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹1,25,990",79,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
974,Lenovo IdeaPad Gaming 3 81Y401ARIN Gaming Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹63,990",67,10th Gen Intel Core i5 10300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
975,Lenovo IdeaPad Flex 5 82HU00PPIN Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),"₹57,990",62,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
976,Dell Inspiron G15 D560826WIN9G Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹1,01,639",69,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
977,Dell Vostro 3405 Laptop (Ryzen 3-3250U/ 8GB/ 512GB SSD/ Win10 Home),"₹38,990",53,3rd Gen AMD Ryzen 3  3250U ,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon,"14 inches, 1920 x 1080 pixels",Windows 10 OS,2 USB 3.0 Ports
978,Dell Inspiron 5518 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 2GB Graph),"₹65,490",67,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,2 GB NVIDIA GeForce MX450,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
979,Lenovo IdeaPad 5 Pro 14ITL6 82L300CAIN Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹77,490",63,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated,"14 inches, 2304 x 1400 pixels",Windows 11 OS,1 Year Warranty
980,Dell Inspiron G15 D560827WIN9G Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹66,599",67,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
981,Asus Vivobook S15 OLED K3502ZA-L701WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹84,700",71,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris XE Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
982,Lenovo IdeaPad 3 15IML05 81WB01EBIN Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹37,990",53,10th Gen Intel Core i3 10110U,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
983,Acer Aspire 3 A314-35 UN.K0SSI.011 Laptop (Celeron N4500/ 4GB/ 256GB SSD/ Win11 Home),"₹26,600",48,Intel Celeron N4500 N4500,Dual Core,4 GB DDR4 RAM,256 GB SSD,Intel UHD,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
984,Lenovo IdeaPad 3 15IGL05 81WQ00MQIN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),"₹27,000",53,Intel Celeron  N4020,"Dual Core, 2 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD 600,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
985,Lenovo IdeaPad 3 15ITL05 81X800K9IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹60,494",60,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
986,Lenovo IdeaPad 3 15ITL6 82H802L0IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹39,994",59,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
987,Dell Inspiron 5310 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 2GB Graph),"₹72,620",66,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",16 GB LPDDR4 RAM,512 GB SSD,2 GB NVIDIA GeForce MX450,"13.3 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
988,Asus Vivobook S14 OLED S3402ZA-KM701WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),"₹81,990",72,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
989,Asus Zenbook 14X OLED Space Edition UX5401ZAS-KN711WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),"₹1,16,990",75,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,1 TB SSD,Intel Iris Xe,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
990,Asus Vivobook 14 OLED UX3402ZA-KM531WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹85,990",61,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Iris Xe,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
991,Lenovo IdeaPad Slim 3 81X800J1IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹53,100",60,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
992,Asus Zenbook Space Edition UX5401ZAS-KN521WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹1,04,390",67,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
993,Asus Zenbook 14X OLED Space Edition UX5401ZAS-KN901WS Laptop (12th Gen Core i9/ 32GB/ 1TB SSD/ Win11),"₹1,59,990",78,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",32 GB LPDDR5 RAM,1 TB SSD,Intel Iris X Graphics ,"14 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
